Name of WikiPage, Total Revision of Article, Anonymus Revision of Article, Unieque Editors of Article, Minor editors of Article, Total Revision of Discussion Page, Anonymous Revision of Discussion Page, Unieque Editors of Discussion Page, Minor editors of Revision,Controversial
User:Staeckerbot/Suspicious_images,7425,14,7336,6917,111,1,110,0,1
Wikipedia:Articles_for_deletion/Old,58943,42,57133,1388,145,2,143,15,1
User:Xp54321,809,7,793,26,2003,58,1945,215,1
List_of_states_and_territories_of_the_United_States,1298,500,766,386,101,18,83,13,1
Don_Bradman,3973,1176,2769,1059,568,70,498,78,1
User:StatusBot/Status/ClueBot_III/LastEdit,1556,0,1540,1012,0,0,0,0,1
List_of_Ben_10_aliens,22675,13712,8873,2096,66,1,65,39,1
List_of_Brazilian_football_transfers_2008,856,49,774,45,20,0,20,8,1
Wikipedia:Good_articles,23221,360,22632,4650,5867,281,5586,831,1
Sonic_Unleashed,4977,2336,2588,832,791,85,706,126,1
Wikipedia:Highly_Active_Users/North_America,883,3,871,258,1,0,1,0,1
Tennessee_Coal_Iron_and_Railroad_Company,536,57,477,57,75,6,69,11,1
The_Doctor%27s_Daughter,818,288,519,167,281,34,247,28,1
Wikipedia:WikiProject_Military_history/Assessment/Tag_%26_Assess_2008,853,5,822,285,74,1,73,17,1
George_W._Bush,46666,11339,34973,15556,22900,3853,19047,4201,1
Kevin_James_(broadcaster),713,183,519,156,177,22,155,32,1
Chris_Paul,4652,2114,2436,964,155,34,121,37,1
Wikipedia:Requests_for_adminship/Coppertwig,392,1,379,45,30,0,30,0,1
Wikipedia:Autoconfirmed_Proposal/Poll,387,26,353,47,138,0,138,15,1
Wikipedia:Requests_for_adminship/Philosopher,383,1,374,43,54,0,54,10,1
Chicago_Cubs,12812,4799,7692,2841,472,67,405,61,1
User:Gary/Goals,2379,0,2331,6,5,0,5,1,1
Wikipedia:Requests_for_adminship/Jbmurray,380,0,372,47,40,0,40,5,1
Didier_Drogba,7255,2305,4752,1572,240,55,185,53,1
Bye_Bye_(Mariah_Carey_song),1910,869,1020,175,32,4,28,8,1
Break_the_Ice_(song),3224,1491,1663,384,111,14,97,33,1
Grand_Theft_Auto,11527,5336,6129,2319,737,149,588,157,1
User:Staeckerbot/Suspicious_images,7425,14,7336,6917,111,1,110,0,1
Wikipedia:Articles_for_deletion/Old,58943,42,56544,1388,145,2,143,15,1
User:Xp54321,809,7,777,26,2003,58,1945,215,1
List_of_states_and_territories_of_the_United_States,1298,500,790,386,101,18,83,13,1
Don_Bradman,3973,1176,2769,1059,568,70,498,78,1
User:StatusBot/Status/ClueBot_III/LastEdit,1556,0,1524,1012,0,0,0,0,1
List_of_Ben_10_aliens,22675,13712,8873,2096,66,1,65,39,1
List_of_Brazilian_football_transfers_2008,856,49,790,45,20,0,20,8,1
Wikipedia:Good_articles,23221,360,22403,4650,5867,281,5586,831,1
Sonic_Unleashed,4977,2336,2535,832,791,85,706,126,1
Wikipedia:Highly_Active_Users/North_America,883,3,844,258,1,0,1,0,1
Tennessee_Coal_Iron_and_Railroad_Company,536,58,477,57,75,6,69,11,1
The_Doctor%27s_Daughter,818,288,508,167,281,34,247,28,1
Wikipedia:WikiProject_Military_history/Assessment/Tag_%26_Assess_2008,853,5,831,285,74,1,73,17,1
George_W._Bush,46666,11339,34620,15556,22900,3853,19047,4201,1
Kevin_James_(broadcaster),713,183,514,156,177,22,155,32,1
Chris_Paul,4652,2114,2487,964,155,34,121,37,1
Wikipedia:Requests_for_adminship/Coppertwig,392,1,375,45,30,0,30,0,1
Wikipedia:Autoconfirmed_Proposal/Poll,387,26,346,47,138,0,138,15,1
Wikipedia:Requests_for_adminship/Philosopher,383,1,370,43,54,0,54,10,1
Chicago_Cubs,12812,4799,7772,2841,472,67,405,61,1
User:Gary/Goals,2379,0,2283,6,5,0,5,1,1
Wikipedia:Requests_for_adminship/Jbmurray,380,0,368,47,40,0,40,5,1
Didier_Drogba,7255,2305,4801,1572,240,55,185,53,1
Bye_Bye_(Mariah_Carey_song),1910,869,1009,175,32,4,28,8,1
Break_the_Ice_(song),3224,1491,1715,384,111,14,97,33,1
Grand_Theft_Auto,11527,5336,6005,2319,737,149,588,157,1
Wikipedia:Centralized_discussion/Image_placeholders,1529,5,1493,102,75,2,73,8,1
McGill_University,5285,1883,3367,1235,737,113,624,114,1
Hatem_Ben_Arfa,3304,1618,1652,417,45,4,41,10,1
Wikipedia:Articles_for_deletion/Encyclopedia_Dramatica_(2nd_nomination),545,39,490,60,43,3,40,13,1
Invention,3191,1041,2085,893,169,32,137,25,1
Vladimir_Putin,14083,2673,11295,3555,5152,496,4656,722,1
Hard_Candy_(Madonna_album),6429,3157,3141,793,385,101,284,86,1
Dutch_Empire,1902,473,1371,640,496,21,475,161,1
Potential_superpowers,4457,1350,3075,812,3116,739,2377,449,1
Cloverfield,8270,3375,4846,1328,2525,739,1786,383,1
David_Cook_(singer),4006,1661,2321,674,210,45,165,45,1
William_Goodchild,1472,832,614,141,4,0,4,2,1
Centrifugal_force,1438,327,1088,381,2334,139,2195,291,1
Wikipedia:Tutorial/Formatting/sandbox,41261,12446,27662,6341,203,15,188,171,1
2008_World_Snooker_Championship,926,466,450,131,16,1,15,2,1
Wikipedia:Fringe_theories/Noticeboard,39451,1019,37663,4050,448,9,439,65,1
Survivor:_Micronesia,3346,1602,1726,404,0,0,0,0,1
Timeline_of_historical_geopolitical_changes,2801,242,2482,254,50,4,46,10,1
Tibet,7922,1804,6056,1857,4507,970,3537,665,1
Priory_of_Sion,5033,1215,3703,947,1055,76,979,123,1
User:The_ed17/sandbox3,609,8,588,98,10,0,10,0,1
A_Shot_at_Love_II_with_Tila_Tequila,1917,1202,686,320,88,20,68,25,1
Zoey_101,9847,5269,4394,1558,287,84,203,59,1
